Model,Accuracy,F1 Score,Precision,NORMAL_F1,NORMAL_Precision,PNEUMONIA_F1,PNEUMONIA_Precision,UNKNOWN_F1,UNKNOWN_Precision,TUBERCULOSIS_F1,TUBERCULOSIS_Precision
model_40,98.49377865094957,0.9849399473918447,0.9849974387053206,0.9799635701275046,0.9781818181818182,0.986013986013986,0.9814385150812065,0.996309963099631,0.9926470588235294,0.9866989117291415,0.9951219512195122
model_41,98.2973149967256,0.9829647378966836,0.9829663471061959,0.9762340036563071,0.978021978021978,0.9824150058616647,0.9835680751173709,1.0,1.0,0.986857825567503,0.9833333333333333
model_42,97.77341191879503,0.9776637144550394,0.9780229797202191,0.9693023255813954,0.9886148007590133,0.9791666666666666,0.9679633867276888,1.0,1.0,0.9798816568047337,0.9672897196261683
model_43,97.64243614931237,0.9764438687052908,0.976603141631617,0.9683830171635049,0.9588550983899821,0.9727810650887574,0.9832535885167464,0.996309963099631,0.9926470588235294,0.9843561973525873,0.9879227053140096
model_44,97.51146037982973,0.9750838413158349,0.9751118224351815,0.9669117647058824,0.9740740740740741,0.9824970828471412,0.9790697674418605,0.996309963099631,0.9926470588235294,0.9713603818615751,0.9667458432304038
model_45,97.969875573019,0.9796936624638912,0.9797283123403081,0.9727272727272728,0.9692028985507246,0.9764150943396226,0.9833729216152018,0.996309963099631,0.9926470588235294,0.9868263473053892,0.9856459330143541
model_46,97.83889980353635,0.9784075706541765,0.978493183792543,0.9710144927536232,0.9640287769784173,0.9764150943396226,0.9833729216152018,1.0,1.0,0.9831730769230769,0.9855421686746988
model_47,97.38048461034708,0.9737588445723706,0.973944841900626,0.9639222941720629,0.9774859287054409,0.9848308051341891,0.9813953488372092,0.996309963099631,0.9926470588235294,0.9680473372781065,0.955607476635514
model_48,97.90438768827767,0.9790219371592628,0.9790584791649986,0.9715335169880625,0.977818853974122,0.9836065573770492,0.9836065573770492,0.996309963099631,0.9926470588235294,0.9785714285714285,0.9716312056737588
model_49,97.77341191879503,0.9776920851318477,0.9780018218983701,0.9703153988868275,0.9867924528301887,0.985981308411215,0.9836829836829837,0.9926470588235294,0.9854014598540146,0.9740566037735849,0.9582366589327146
model_50,98.16633922724296,0.9816632113853287,0.9817201289545524,0.9761904761904762,0.9797794117647058,0.984759671746776,0.9859154929577465,0.9925373134328358,1.0,0.9821640903686087,0.9740566037735849
model_51,98.03536345776031,0.9803524793466164,0.9803574064721005,0.9735642661804923,0.9726775956284153,0.9812646370023419,0.9812646370023419,0.996309963099631,0.9926470588235294,0.9831730769230769,0.9855421686746988
